model_type,variant,class_weight_strategy,stat,n_runs,n_features,n_train,n_val,val_acc_mean,val_acc_run_std,val_f1_macro_mean,val_f1_macro_run_std,cv_acc_mean,cv_acc_fold_std,cv_acc_run_std,cv_f1_macro_mean,cv_f1_macro_fold_std,cv_f1_macro_run_std
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,OFFSIDES,2,249,1444,362,0.48345,0.005549999999999999,0.47385,0.0063499999999999945,0.47314999999999996,0.013149999999999998,0.005250000000000005,0.47225,0.0126,0.005249999999999977
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,REDCARDS,2,249,1444,362,0.75825,0.004149999999999987,0.33215,0.00495000000000001,0.7483500000000001,0.08535,0.012949999999999962,0.34165,0.01185,0.0008500000000000174
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,SHOTS_ON_TARGET,2,249,1444,362,0.64915,0.02485000000000004,0.4942,0.002899999999999986,0.63205,0.02025,0.007449999999999957,0.4837,0.0293,0.001799999999999996
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,YELLOWCARDS,2,249,1444,362,0.45994999999999997,0.006949999999999984,0.3935,0.012699999999999989,0.4128,0.0378,0.00030000000000002247,0.3798,0.0241,0.006499999999999978
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,CORNERS,2,135,1444,362,0.62705,0.01934999999999998,0.41775,0.0011499999999999844,0.6008,0.01985,0.0032999999999999696,0.42335,0.018000000000000002,0.006249999999999978
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,FOULS,2,135,1444,362,0.5027999999999999,0.013799999999999979,0.39905,0.004849999999999993,0.4959,0.0348,0.0014000000000000123,0.40264999999999995,0.02655,0.004849999999999993
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,GOALS,2,135,1444,362,0.60635,0.006949999999999956,0.48235,0.022550000000000014,0.58525,0.022,0.0027499999999999747,0.4642,0.0166,0.009000000000000008
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,OFFSIDES,2,135,1444,362,0.4986,0.0014000000000000123,0.4804,0.0039000000000000146,0.48285,0.02145,0.0027499999999999747,0.4767,0.02105,0.0032999999999999974
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,REDCARDS,2,135,1444,362,0.8190500000000001,0.040049999999999975,0.31905,0.010950000000000015,0.80515,0.0537,0.01934999999999998,0.32120000000000004,0.0127,0.00839999999999999
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,SHOTS_ON_TARGET,2,135,1444,362,0.6657500000000001,0.03594999999999998,0.46725,0.005049999999999999,0.64125,0.02995,0.0016500000000000403,0.4673,0.021900000000000003,0.0016999999999999793
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,YELLOWCARDS,2,135,1444,362,0.48755,0.009649999999999992,0.4101,0.008700000000000013,0.44715,0.011349999999999999,0.004149999999999987,0.37585,0.01145,0.005849999999999994
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,CORNERS,2,135,1444,362,0.61605,0.00275000000000003,0.44035,0.0025499999999999967,0.59055,0.022,0.011349999999999971,0.43710000000000004,0.0161,0.0022999999999999965
