target,rank,model_type,variant,cv_rmse,cv_rmse_run_std,cv_rmse_fold_std,cv_mae,cv_mae_run_std,cv_rmse_pct,cv_mae_pct,val_rmse,val_mae,n_runs
AWAY_CORNERS,16,lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,2.5960145,0.0039605,0.062246,2.0191765000000004,0.0026604999999999,62.625,48.705,2.4778275,1.961843,2
AWAY_CORNERS,17,mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,2.596382,0.0074929999999999,0.0741555,2.015952,0.0092340000000001,63.24,49.105,2.4763390000000003,1.9495845,2
AWAY_CORNERS,18,lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,2.5968485,0.0008425,0.062838,2.0201345,0.0048945,62.64,48.73,2.480415,1.9420705,2
AWAY_CORNERS,19,mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,2.5970575,0.0057754999999999,0.072383,2.015346,0.0042170000000001,63.25,49.085,2.501255,1.9647275,2
AWAY_CORNERS,20,xgb,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,2.5970685,0.0063684999999999,0.067966,2.036373,0.0047659999999998,63.255,49.595,2.4798105,1.9733365,2
HOME_YELLOWCARDS,1,lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,1.3298965,0.0007924999999999,0.05175,1.0639310000000002,0.001278,70.00999999999999,56.01,1.303925,1.0579285,2
HOME_YELLOWCARDS,2,xgb,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,1.33244,0.002981,0.0410785,1.0669244999999998,0.0019704999999999,70.095,56.125,1.2811295,1.033656,2
HOME_YELLOWCARDS,3,xgb,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,1.3380085,0.0077524999999999,0.0396195,1.0744225,0.0089354999999999,70.39,56.52,1.290734,1.040951,2
HOME_YELLOWCARDS,4,xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,1.3395,0.0,0.040455,1.071943,0.0,70.47,56.39,1.30217,1.044273,1
HOME_YELLOWCARDS,5,xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,1.3395665,0.0026154999999999,0.040807,1.0724685,0.0025325,70.47,56.42,1.28752,1.037265,2
HOME_YELLOWCARDS,6,lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,1.3403135000000002,0.0015005,0.0463985,1.0663865,0.0006365,70.56,56.135000000000005,1.2975095,1.0503105,2
HOME_YELLOWCARDS,7,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,1.341098,0.002827,0.0433425,1.077113,0.007962,70.6,56.7,1.31062,1.0539770000000002,2
