model_type,variant,class_weight_strategy,stat,rank,cv_f1_macro_mean,cv_f1_macro_run_std,cv_f1_macro_fold_std,val_f1_macro_mean,val_f1_macro_run_std,n_runs
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,FOULS,6,0.4076,0.0030999999999999,0.0137,0.42695,0.02655,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,FOULS,7,0.40615,0.0050499999999999,0.02475,0.4383,0.0035,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,FOULS,8,0.40585,0.00495,0.0196,0.41425,0.01185,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,FOULS,9,0.4052,0.0070999999999999,0.02045,0.43815,0.0129499999999999,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,FOULS,10,0.4026499999999999,0.0048499999999999,0.02655,0.39905,0.0048499999999999,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,FOULS,11,0.3974499999999999,0.01435,0.01365,0.4157,0.0085,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,FOULS,12,0.39115,0.00585,0.02395,0.39215,0.0077499999999999,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,FOULS,13,0.39015,0.0057499999999999,0.02865,0.4006499999999999,0.0189499999999999,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,FOULS,14,0.3853499999999999,0.01025,0.0212499999999999,0.404,0.0054999999999999,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,FOULS,15,0.3829,0.0105999999999999,0.02055,0.45155,0.00755,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,FOULS,16,0.37255,0.01435,0.01775,0.41745,0.0021499999999999,2
